SND,LON,LAT,L2XCO2[ppm],L2PSUR[kPa],i1,s1,i2,s2,i3,s3,weighted_cld_distance
SND2015120110344131,44.545727,-9.912502,397.93048,101.29521,-0.009446653586759937,-0.0009285258947669051,-0.010665457081128283,-0.00019868809166102806,-0.011094331877338388,-0.0006284430294149535,12.026282649248031
SND2015120110344171,44.541576,-9.893886,398.275,101.2295,-0.010940638351673544,-0.0010332600305799822,-0.012329608826352674,-0.00022640780276323374,-0.012801200181947692,-0.000704214453882096,11.602614468878144
SND2015120110344172,44.54079,-9.904786,398.7913,101.2211,-0.007408434062553378,-0.0007779664565128783,-0.008389645996221428,-0.0001600597993890262,-0.008754335120661535,-0.0005205087358551149,12.727593261883356
SND2015120110344173,44.5399,-9.915747,398.36728,101.288895,-0.009374424598156168,-0.0009233526328997577,-0.010584921810288587,-0.00019733619978119584,-0.011011645376239063,-0.0006247142799293142,12.048430377559427
SND2015120110344201,44.537434,-9.875269,398.15793,101.19897,-0.013021784250098846,-0.0011728991657370931,-0.014643146470625173,-0.0002643403042732375,-0.015169207620095947,-0.0008060127031716894,11.100124530126552
SND2015120110344202,44.53665,-9.88617,398.2058,101.23212,-0.010901285667432767,-0.001030553343551368,-0.012285811953486719,-0.0002256832631322026,-0.012756319448029352,-0.0007022497275653176,11.613012328724416
SND2015120110344203,44.53577,-9.897131,398.2579,101.32744,-0.0068319766912282075,-0.0007334197454913137,-0.007744655827614497,-0.00014893238225185715,-0.008089733631375792,-0.0004888230563326928,12.961338133023629
SND2015120110344204,44.534786,-9.908117,398.76593,101.23462,-0.006530489556710428,-0.0007097164858688395,-0.007407059169033804,-0.00014307181971874353,-0.007741588136323812,-0.0004720137070556921,13.091569588026106
SND2015120110344231,44.533276,-9.856653,398.07568,101.267876,-0.011948500577477702,-0.0011017110098199743,-0.013450641195418687,-0.0002448689642571267,-0.013949288319747807,-0.0007540108705214079,11.348334209063848
SND2015120110344232,44.53249,-9.867557,397.8529,101.35598,-0.010053753049000606,-0.0009715931207448669,-0.011342074781574254,-0.00021000681270850197,-0.011788707824871033,-0.0006595366211375824,11.846554305516575
SND2015120110344233,44.531605,-9.87852,398.11584,101.31646,-0.007579932861862033,-0.0007910348715528665,-0.008581410613136295,-0.00016335148651872253,-0.008951799715003548,-0.0005298269389855827,12.66155650418407
SND2015120110344234,44.530617,-9.889508,398.1278,101.266304,-0.006178542455162826,-0.0006816655442557904,-0.007012712292230767,-0.00013619233439805912,-0.007334656546506493,-0.0004521684594074226,13.251428184100867
SND2015120110344235,44.529537,-9.900408,398.58292,101.27086,-0.004930708125889437,-0.0005784316768407624,-0.005612167087590474,-0.00011142971220498828,-0.00588687424847965,-0.0003796080468581413,13.902409762205481
SND2015120110344236,44.528362,-9.911347,399.00098,101.32381,-0.005677664774239716,-0.000640980481314225,-0.006451005519317766,-0.00012632608049950475,-0.006754504646584496,-0.00042347991726852507,13.4953802412115
SND2015120110344271,44.52898,-9.838055,397.95154,101.13122,-0.020825989175766096,-0.0016508561856538202,-0.02328238322822269,-0.0004013899498576043,-0.02397355460875721,-0.0011600055429776628,9.745129242418235
SND2015120110344272,44.528202,-9.848958,398.15942,101.26464,-0.012032017714662288,-0.0011073111883046105,-0.013543481949678833,-0.00024639084734752453,-0.014044312392430208,-0.0007580939644049029,11.328235007285755
SND2015120110344273,44.527325,-9.859922,398.03458,101.27759,-0.00851779318034099,-0.0008611391628913185,-0.009629171028120108,-0.00018121218493148163,-0.010029720826503814,-0.0005799811527636671,12.32494748729856
SND2015120110344274,44.52634,-9.870912,398.01395,101.2722,-0.006675105198347876,-0.000721122665577702,-0.007569019329732766,-0.0001458866290276313,-0.007908634274530998,-0.00048009799662849975,13.028367025712308
SND2015120110344275,44.525272,-9.881812,398.3954,101.31608,-0.005728299370154637,-0.0006451365345441621,-0.006507816633245567,-0.00012732771658871257,-0.0068132103038387,-0.00042640519047527936,13.469760294630017
SND2015120110344276,44.5241,-9.892753,398.5489,101.390564,-0.004391935431816489,-0.0005317060813725831,-0.005006147805375691,-0.00010053099144476788,-0.005259013795600558,-0.00034703413857154494,14.236305379291608
SND2015120110344277,44.522842,-9.9037,398.46,101.36467,-0.004007741546694331,-0.000497430312565664,-0.004573440170471011,-9.266937724908117e-05,-0.00481011081545035,-0.0003232568756145552,14.50045562347995
SND2015120110344278,44.521484,-9.914662,398.89313,101.32199,-0.0059520482602033395,-0.0006633836599656899,-0.006758784705159313,-0.0001317422616551279,-0.007072468593257767,-0.00043926301540360896,13.359195141456468
SND2015120110344301,44.52469,-9.819454,397.3138,101.2542,-0.044338854963615504,-0.0028615235966941424,-0.04910383546111072,-0.0007861149807714286,-0.05007242359969685,-0.002084053199722807,7.5646282806365965
SND2015120110344302,44.52392,-9.830359,397.42035,101.20707,-0.026634428020484456,-0.0019745976510141035,-0.029684750545203455,-0.0004995743444576673,-0.030469407309075422,-0.0014037674427390511,9.035273024032124
SND2015120110344303,44.523045,-9.841325,397.82993,101.21551,-0.01483223420410819,-0.0012894795121170736,-0.01665197481568068,-0.00029679255586016143,-0.017221339774359818,-0.0008916128556421395,10.724484905224257
SND2015120110344304,44.52207,-9.852314,398.007,101.354935,-0.011493354299218321,-0.0010710016399767084,-0.012944539979877726,-0.0002365541978648963,-0.013431133383140713,-0.0007316448508979408,11.460400145792148
SND2015120110344305,44.521008,-9.863215,398.27353,101.26923,-0.007168554068051903,-0.0007595482277142377,-0.008121326510030346,-0.0001554414356743993,-0.008477941131543274,-0.0005073932822391905,12.822571794971353
SND2015120110344306,44.519844,-9.874158,398.6299,101.29682,-0.00490303863557547,-0.0005760670638517212,-0.005581064964701776,-0.00011087332078990078,-0.005854673549307893,-0.00037795535718732314,13.918648164843024
SND2015120110344307,44.51859,-9.885106,398.2611,101.30762,-0.00402660702902219,-0.0004991336737107186,-0.004594699562710955,-9.3057299196109e-05,-0.004832178419986024,-0.0003244360456697801,14.486904413907084
SND2015120110344308,44.517242,-9.89607,398.58972,101.34732,-0.00339312201611224,-0.00044065979707469605,-0.0038801098181076316,-7.991424446341648e-05,-0.004089650468670133,-0.0002841128184951981,14.980836146182021
SND2015120110344331,44.52041,-9.800852,397.72458,100.6995,-0.2271928292270004,-0.009400199683935262,-0.24653583119036973,-0.003362745791023075,-0.24616969201889724,-0.007397667633453532,2.8498037965970404
SND2015120110344332,44.519657,-9.811754,397.54306,100.99656,-0.12856184924975195,-0.00621062175478267,-0.1405011870137542,-0.0020264358116208973,-0.14132391264102814,-0.004757380418952448,4.492809655809235
SND2015120110344333,44.518806,-9.822717,397.71204,101.23203,-0.029356942032350015,-0.002119561152217337,-0.032679391959251305,-0.0005447504475954522,-0.033501235791047745,-0.0015137934350142824,8.754437744342143
SND2015120110344334,44.517853,-9.833704,397.27518,101.171814,-0.014812974594910924,-0.0012882604775406108,-0.016630621637906608,-0.0002964497267267896,-0.017199543978514142,-0.0008907150748203356,10.728234229799478
SND2015120110344335,44.51681,-9.844603,397.7254,101.34667,-0.013099945080410479,-0.0011780196307885978,-0.01472994037368517,-0.0002657511872621874,-0.015257944952930584,-0.0008097612080250001,11.08285627104898
SND2015120110344336,44.51567,-9.855542,398.33847,101.29707,-0.018919648917718402,-0.001539431503653005,-0.021176519342091023,-0.000368536396696658,-0.02183212078942571,-0.0010767982327403761,10.02214490808982
